#名前,"性別(0=両,1=男,2=女)",レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,カスタム強化防御力,カスタム強化素材1,個数1,カスタム強化素材2,個数2,ワンセット防具,仮番号,傀異錬成初期コスト,傀異錬成最大防御＋,傀異錬成2スロ追加時最大防御＋
リノプロＳコイル,0,4,3,1,0,,42,60,2,0,0,-2,0,耐震,2,,,,,,,,,草食竜の堅殻,2,草食竜の頭殻,1,カブレライト鉱石,3,,,,,,,,,210,0,0,0
ドロスＳコイル,0,4,3,1,0,,42,60,-2,4,-1,0,0,陽動,1,,,,,,,,,水生獣の上皮,2,水生獣の皮,2,鋭利な爪,3,咬魚の上皮,1,,,,,,,220,0,0,0
ラングロＳコイル,0,4,1,1,0,,50,68,2,-3,0,-1,1,高速変形,1,,,,,,,,,赤甲獣の蛇腹甲,3,赤甲獣の堅殻,1,堅牢な骨,2,カブレライト鉱石,3,,,,,,,230,0,0,0
ルドロスＳコイル,0,4,1,0,0,,48,66,-3,4,-1,0,0,ランナー,1,フルチャージ,2,,,,,,,海綿質の上皮,4,水獣の鋭爪,1,水獣の尻尾,1,鋭利な爪,2,,,,,,,240,0,0,0
ボロスＳコイル,0,4,1,0,0,,50,68,-3,-1,3,-1,0,ガード性能,2,防御,1,,,,,,,土砂竜の堅甲,4,土砂竜の堅殻,1,上質なヒレ,3,,,,,,,,,250,0,0,0
テンゴＳコイル,0,5,1,1,0,,52,70,-2,2,2,-4,2,アイテム使用強化,1,渾身,1,,,,,,,天狗獣の剛毛,3,天狗獣の上腕羽,2,天狗獣の尖爪,1,イズチの剛毛,3,,,,,,,260,0,0,0
プケプケＳコイル,0,5,2,1,0,,50,68,0,3,-3,0,1,弾丸節約,1,毒属性強化,2,,,,,,,毒妖鳥の上鱗,4,毒妖鳥の堅殻,1,尖竜骨,1,ドラグライト鉱石,2,,,,,,,270,0,0,0
ジュラコイル,0,5,1,1,0,,48,66,-1,2,-3,0,0,ガード強化,1,強化持続,1,攻めの守勢,1,,,,,泥魚竜の堅殻,4,泥魚竜の上ヒレ,2,咬魚の上ヒゲ,2,尖竜骨,1,,,,,,,280,0,0,0
バサルＳコイル,0,5,2,0,0,,52,70,0,-2,1,1,-3,砥石使用高速化,2,防御,2,,,,,,,岩竜の堅殻,4,爆炎袋,1,ユニオン鉱石,2,大地の結晶,3,,,,,,,290,0,0,0
レイアＳコイル,0,5,2,0,0,,52,70,3,0,-2,0,-3,体力回復量ＵＰ,2,広域化,1,,,,,,,雌火竜の上鱗,3,雌火竜の堅殻,1,雌火竜の翼膜,2,カブレライト鉱石,3,,,,,,,300,0,0,0
クロムメタルコイル,0,5,3,2,1,,46,54,-2,-2,-2,-2,-2,,,,,,,,,,,ノヴァクリスタル,1,獄炎石,1,ユニオン鉱石,3,迅竜の鋭刃翼,2,,,,,,,310,0,0,0
ドーベルコイル,0,5,2,0,0,,52,60,-2,0,0,0,4,龍属性攻撃強化,1,攻撃,2,,,,,,,尖竜骨,3,埋もれた竜骨骸,2,眠狗竜の上皮,2,ジャグラスの上皮,1,,,,,,,320,0,0,0
アルブーロＳパレオ,0,5,3,1,0,,52,60,0,-2,1,-1,0,弾導強化,1,,,,,,,,,マクラサカガイ,1,泡狐竜の上錦ヒレ,2,鎌鼬竜の上皮,2,グラシスメタル,2,,,,,,,330,0,0,0
メルホアＳオッハ,0,5,2,0,0,,52,60,0,1,3,0,0,植生学,1,回復速度,1,,,,,,,ドスビスカス,1,落陽草,3,臣蜘蛛の絹糸,2,埋もれた竜骨骸,2,,,,,,,340,0,0,0
デスギアＳナーベル,0,5,1,1,0,,52,60,3,1,1,-1,0,剛刃研磨,1,渾身,1,,,,,,,禍々しい闇布,1,翼蛇竜の上皮,2,上質な堅骨,1,鋭利な牙,2,,,,,,,350,0,0,0
マギュルＳオッハ,0,5,1,0,0,,52,60,-3,1,0,3,0,火属性攻撃強化,3,,,,,,,,,ワヲンパンプキン,1,怪力の種,2,甲虫の大顎,1,臣蜘蛛の絹糸,3,,,,,,,360,0,0,0
ヴァイクＳコイル,0,5,2,0,0,,52,60,0,3,-2,-1,0,通常弾・連射矢強化,1,,,,,,,,,ヨロイシダイ,1,サシミウオ,2,咬魚の上皮,2,カブレライト鉱石,3,,,,,,,370,0,0,0
マカルパＳコイル,0,5,3,0,0,,52,60,1,2,-2,0,0,睡眠耐性,1,,,,,,,,,春夜鯉,1,小金魚,2,垂皮竜の上皮,2,ドラグライト鉱石,2,,,,,,,380,0,0,0
ウツシ表【腰巻】覇,1,5,3,0,0,,52,60,3,0,0,0,0,早食い,1,満足感,1,,,,,,,カムラチケット,2,人魚竜の微睡み粉,2,堅竜骨,1,獄炎石,1,,,,,,,390,0,0,0
ウツシ裏【腰巻】覇,1,5,2,0,0,,52,60,3,0,0,0,0,挑戦者,2,翔蟲使い,1,,,,,,,カムラチケット,2,人魚竜の尖鉤爪,2,堅竜骨,1,獄炎石,1,,,,,,,400,0,0,0
依巫・祈【腰巻】,2,5,3,0,0,,52,,3,0,0,0,0,早食い,1,満足感,1,,,,,,,カムラチケット,2,人魚竜の微睡み粉,2,堅竜骨,1,獄炎石,1,,,,,,,410,0,0,0
神凪・願【腰巻】,2,5,2,0,0,,52,,3,0,0,0,0,挑戦者,2,翔蟲使い,1,,,,,,,カムラチケット,2,人魚竜の尖鉤爪,2,堅竜骨,1,獄炎石,1,,,,,,,420,0,0,0
コトルＳコイル,0,5,2,1,0,,52,60,4,-2,0,-1,0,火属性攻撃強化,2,,,,,,,,,溶岩獣の上鱗,5,上質なヒレ,2,鋭利な牙,1,ユニオン鉱石,2,,,,,,,430,0,0,0
ガブラスーツＳベルト,0,5,1,1,0,,52,60,1,1,1,1,3,会心撃【属性】,2,,,,,,,,,翼蛇竜の上皮,3,迅竜の上鱗,1,猛毒袋,1,尖竜骨,2,,,,,,,440,0,0,0
イソネＳコイル,0,5,3,0,0,,58,66,-1,2,-3,0,1,睡眠属性強化,1,ボマー,1,,,,,,,人魚竜の上鱗,3,人魚竜の尖鉤爪,3,人魚竜の怒髪ヒレ,2,上質なヒレ,1,,,,,,,450,0,0,0
ベリオＳコイル,0,5,1,0,0,,58,66,-3,0,-1,3,0,抜刀術【技】,1,見切り,2,,,,,,,氷牙竜の堅殻,4,凍結袋,1,氷牙竜の尻尾,2,眠狗竜の上皮,2,,,,,,,460,0,0,0
カガチＳコイル,0,5,1,1,0,,58,66,0,-3,3,0,0,心眼,2,,,,,,,,,飛雷竜の上毛皮,4,飛雷竜の尖爪,2,飛雷竜の皮膜,1,青熊獣の堅殻,2,,,,,,,470,0,0,0
ジャナフＳコイル,0,6,2,1,1,,60,80,3,-3,-1,-1,0,攻撃,2,,,,,,,,,蛮顎竜の上毛皮,4,蛮顎竜の上鱗,2,堅竜骨,2,蛮顎竜の宝玉,1,,,,,,,480,0,0,0
ナルガＳコイル,0,6,2,0,0,,60,80,-2,1,-3,1,1,回避距離ＵＰ,2,見切り,1,,,,,,,迅竜の上黒毛,4,迅竜の鋭刃翼,2,堅竜骨,2,迅竜の延髄,1,,,,,,,490,0,0,0
ミツネＳコイル,0,6,2,1,0,,60,80,0,2,-3,1,-1,泡沫の舞,1,満足感,1,,,,,,,泡狐竜の紫上毛,4,泡狐竜の尻尾,1,泡狐竜の上錦ヒレ,2,真珠色の柔皮,2,,,,,,,500,0,0,0
レウスＳコイル,0,6,2,0,0,,62,82,3,1,-2,1,-3,攻撃,2,風圧耐性,1,,,,,,,火竜の上鱗,4,火竜の堅殻,1,火竜の翼,2,火竜の紅玉,1,,,,,,,510,0,0,0
ジンオウＳコイル,0,6,3,1,0,,62,82,0,-1,4,-4,1,力の解放,1,,,,,,,,,雷狼竜の堅殻,3,雷狼竜の高電毛,3,雷狼竜の尻尾,1,雷狼竜の碧玉,1,,,,,,,520,0,0,0
ロワーガＳアンカ,1,6,1,0,0,,62,68,-2,0,3,-2,2,龍属性攻撃強化,3,,,,,,,,,オオクワアゲハ,1,いにしえの龍骨,1,火竜の上鱗,2,モンスターの濃汁,2,,,,,,,530,0,0,0
ファルメルＳアンカ,2,6,1,0,0,,62,,-2,0,3,-2,2,龍属性攻撃強化,3,,,,,,,,,オオクワアゲハ,1,いにしえの龍骨,1,火竜の上鱗,2,モンスターの濃汁,2,,,,,,,540,0,0,0
メデュレトＳコイル,0,6,2,1,0,,62,68,1,3,0,2,0,破壊王,2,,,,,,,,,ゴスゴシックラゲ,1,泡狐竜の上錦ヒレ,1,大水袋,2,グラシスメタル,2,,,,,,,550,0,0,0
禍鎧・覇【腰当て】,0,6,3,0,0,,64,84,3,-3,-2,1,1,鬼火纏,1,,,,,,,,,怨虎竜の上鱗,4,怨虎竜の槍刃尾,1,怨虎竜の妖腕刃,2,怨虎竜の逆鱗,1,,,,,,,560,0,0,0
ゴシャＳコイル,0,6,2,1,0,,64,84,-4,1,-1,4,0,抜刀術【力】,1,逆恨み,1,,,,,,,雪鬼獣の上皮,4,雪鬼獣の尖拳爪,2,雪鬼獣の剛毛,1,獣玉,1,,,,,,,570,0,0,0
オロミドＳコイル,0,6,2,1,0,,64,84,-4,3,3,-2,-2,回避性能,1,強化持続,1,,,,,,,泥翁竜の上鱗,4,泥翁竜の剛毛ヒレ,3,泥翁竜の堅殻,1,泥魚竜の上ヒレ,1,,,,,,,580,0,0,0
レックスＳコイル,0,6,2,1,0,,64,84,2,0,-3,0,-2,耳栓,2,,,,,,,,,轟竜の堅殻,4,轟竜の尖爪,3,轟竜の鋭牙,1,竜玉,2,,,,,,,590,0,0,0
ディアブロＳコイル,0,6,1,1,0,,64,84,3,-1,-1,-3,-1,ガード性能,1,スタミナ急速回復,1,,,,,,,角竜の堅殻,3,角竜の堅甲,2,角竜の骨髄,1,堅竜骨,2,,,,,,,600,0,0,0
ヤツカダコイル,0,6,2,2,0,,66,86,4,-2,-1,-3,1,散弾・拡散矢強化,1,,,,,,,,,妃蜘蛛の堅殻,4,妃蜘蛛の灯腹,1,妃蜘蛛の絹糸,3,妃蜘蛛の鉤棘,1,,,,,,,610,0,0,0
金色ノ帯,0,7,1,0,0,,70,90,2,1,3,-5,2,火事場力,1,超会心,1,渾身,1,,,,,金獅子の尖爪,3,金獅子の黒毛,2,金獅子の鋭牙,1,尖竜骨,2,,,,,,,620,0,0,0
ダマスクコイル,0,7,1,0,0,,68,88,-1,2,-3,1,-1,耳栓,1,匠,1,,,,,,,古龍の血,2,人魚竜の堅殻,2,黄金色の粘泥土,1,ユニオン鉱石,3,,,,,,,,0,0,0
クシャナアンダ,0,7,1,0,0,,74,94,-1,2,-2,3,-3,鋼殻の恩恵,1,回復速度,1,匠,1,貫通弾・貫通矢強化,1,,,鋼龍の堅殻,5,鋼龍の翼,2,古龍の血,2,鋼龍の宝玉,1,,,,,,,,0,0,0
ミヅハ【丸帯】,0,7,1,0,0,,74,94,-5,1,0,3,-3,霞皮の恩恵,1,毒属性強化,1,フルチャージ,2,,,,,霞龍の尖爪,5,霞龍の翼,3,古龍の血,1,真珠色の柔皮,2,,,,,,,,0,0,0
カイザーコイル,0,7,3,0,0,,74,94,4,-4,1,-1,-3,炎鱗の恩恵,1,見切り,1,,,,,,,獄炎の龍鱗,5,炎龍の翼,2,炎王龍の尖角,1,古龍骨,3,,,,,,,,0,0,0
バゼルコイル,0,7,2,2,0,,72,92,3,1,-4,-2,-2,砲弾装填,1,ガード性能,1,,,,,,,爆鱗竜の上鱗,4,爆鱗竜の尖爪,3,爆鱗竜の堅殻,1,爆炎袋,2,,,,,,,630,0,0,0
しまきのこしもと,0,7,0,0,0,,66,86,-1,0,0,0,-2,風紋の一致,1,強化持続,1,回避性能,1,風雷合一,1,,,風神龍の上皮,5,風神龍の尖爪,2,風神龍の碧棘,1,風神の龍玉,1,,,,,,,,0,0,0
なるかみのこしもと,0,7,0,0,0,,76,96,2,1,4,-3,-4,雷紋の一致,1,ガード性能,1,砲術,1,風雷合一,1,,,雷神龍の上皮,5,雷神龍の尖爪,2,雷神龍の雷袋,1,飛雷竜の雷極針,2,,,,,,,640,0,0,0
赫耀ノコイル,0,7,2,0,0,,80,100,-2,-2,-2,-2,3,龍気活性,1,死中に活,1,逆恨み,2,,,,,奇絶の赫灼殻,6,煮えたぎる赫耀液,2,赫赫の槍翼,2,爆鱗竜の爆腺,2,,,,,,,,0,0,0
蒼世ノ侍【帯】,0,7,3,1,0,,72,92,2,2,0,0,2,納刀術,1,水属性攻撃強化,2,会心撃【属性】,1,,,,,,,,,,,,,,,,,,,,0,0,0
カムラノ装【腰巻】継,0,8,4,1,0,,80,108,2,0,0,0,0,翔蟲使い,1,見切り,1,,,,,,,,,,,,,,,,,,,,,5000,20,40,12
レザーＸベルト,0,8,2,1,0,,80,108,0,0,0,0,0,体力回復量ＵＰ,2,腹減り耐性,2,,,,,,,,,,,,,,,,,,,,,5010,20,40,12
チェーンＸベルト,0,8,1,1,1,,82,110,0,0,1,0,0,ガード性能,2,ひるみ軽減,1,防御,2,,,,,,,,,,,,,,,,,,,5020,20,40,12
ハンターＸコイル,0,8,1,1,0,,82,110,0,0,0,0,0,気絶耐性,2,匠,1,アイテム使用強化,1,,,,,,,,,,,,,,,,,,,5030,20,40,12
アロイＸコイル,0,8,3,1,0,,82,110,-1,0,-1,-1,0,水属性攻撃強化,3,見切り,1,,,,,,,,,,,,,,,,,,,,,5040,20,40,12
ボーンＸコイル,0,8,2,1,0,,82,110,0,0,0,-1,0,集中,1,破壊王,2,,,,,,,,,,,,,,,,,,,,,5050,0,0,0
リノプロＸコイル,0,8,4,0,0,,90,118,2,0,0,-2,0,耐震,2,砲弾装填,1,特殊射撃強化,1,,,,,,,,,,,,,,,,,,,5060,0,0,0
ドロスＸコイル,0,8,4,1,0,,90,118,-2,4,-1,0,0,陽動,1,逆恨み,1,,,,,,,,,,,,,,,,,,,,,5070,0,0,0
ブナハＸコイル,0,8,3,1,0,,84,112,-2,0,0,0,2,麻痺属性強化,2,回避性能,1,,,,,,,,,,,,,,,,,,,,,5080,0,0,0
タロスフォールド,0,8,4,0,0,,86,114,-1,-1,-1,-1,4,龍属性攻撃強化,2,龍耐性,3,,,,,,,,,,,,,,,,,,,,,5090,0,0,0
ランゴフォールド,0,8,4,1,0,,84,112,-2,1,1,1,2,納刀術,1,麻痺耐性,1,,,,,,,,,,,,,,,,,,,,,5100,0,0,0
ランポスフォールド,0,8,4,0,0,,86,114,0,0,0,-2,0,攻撃,1,捕獲名人,1,,,,,,,,,,,,,,,,,,,,,5130,0,0,0
イズチＸコイル,0,8,1,1,0,,86,114,2,-1,-2,0,0,見切り,2,体術,1,,,,,,,,,,,,,,,,,,,,,5140,0,0,0
バギィＸコイル,0,8,3,0,0,,86,114,-4,-1,-1,2,1,攻撃,2,睡眠耐性,1,,,,,,,,,,,,,,,,,,,,,5150,0,0,0
クルルＸコイル,0,8,4,1,0,,86,114,0,-3,0,1,0,スタミナ奪取,1,渾身,1,,,,,,,,,,,,,,,,,,,,,5160,0,0,0
フロギィＸコイル,0,8,1,0,0,,88,116,2,-2,1,-4,0,装填拡張,2,毒属性強化,2,,,,,,,,,,,,,,,,,,,,,5170,0,0,0
アシラＸコイル,0,8,2,1,0,,86,114,-2,0,-2,0,0,逆襲,1,防御,3,早食い,1,,,,,,,,,,,,,,,,,,,5180,0,0,0
ウルクＸコイル,0,8,2,0,0,,86,114,-3,1,0,3,0,体術,3,,,,,,,,,,,,,,,,,,,,,,,5190,0,0,0
ラングロＸコイル,0,8,2,0,0,,94,122,2,-3,0,-1,1,耳栓,2,,,,,,,,,,,,,,,,,,,,,,,5200,20,40,12
アケノＸコイル,0,8,4,1,0,,88,116,3,-3,-1,0,0,納刀術,1,会心撃【属性】,1,,,,,,,,,,,,,,,,,,,,,5210,20,40,12
ルドロスＸコイル,0,8,2,0,0,,92,120,-3,4,-1,0,0,ランナー,1,フルチャージ,2,,,,,,,,,,,,,,,,,,,,,5220,0,0,0
ボロスＸコイル,0,8,3,0,0,,94,122,-3,-1,3,-1,0,ガード性能,3,防御,1,,,,,,,,,,,,,,,,,,,,,5230,20,40,12
ザザミコイル,0,8,2,2,0,,94,122,-5,1,-3,-1,2,チューンアップ,1,匠,1,納刀術,1,,,,,,,,,,,,,,,,,,,5240,0,0,0
ヨツミＸコイル,0,8,2,0,0,,90,118,-1,4,-2,1,0,火事場力,2,回避距離ＵＰ,2,,,,,,,,,,,,,,,,,,,,,5250,0,0,0
インゴットＸコイル,0,8,3,0,0,,94,114,-1,-1,1,0,0,強化持続,2,攻撃,1,,,,,,,,,,,,,,,,,,,,,5260,18,32,8
スカルダＸアンカ,1,8,1,0,0,,98,118,3,-1,-1,-1,3,弱点特効,2,毒耐性,1,,,,,,,,,,,,,,,,,,,,,5270,18,32,8
スパイオＸアンカ,2,8,1,0,0,,98,118,3,-1,-1,-1,3,弱点特効,2,毒耐性,1,,,,,,,,,,,,,,,,,,,,,5280,18,32,8
エーデルＸオッハ,0,8,4,2,0,,96,116,-1,3,-1,0,0,体力回復量ＵＰ,1,広域化,1,,,,,,,,,,,,,,,,,,,,,5300,18,32,8
アルブーロＸパレオ,0,8,4,1,0,,96,116,0,2,1,-1,0,弾導強化,1,通常弾・連射矢強化,1,,,,,,,,,,,,,,,,,,,,,5310,18,32,8
メルホアＸオッハ,0,8,4,2,0,,92,118,0,1,3,0,0,植生学,1,回復速度,1,スタミナ急速回復,1,,,,,,,,,,,,,,,,,,,5320,18,32,8
ゴギョウノオビ,0,8,4,0,0,,100,120,0,0,0,0,3,属性やられ耐性,2,乗り名人,1,,,,,,,,,,,,,,,,,,,,,5330,18,32,8
軽装騎士【帯甲】,0,8,3,0,0,,100,116,1,1,1,1,1,弱点特効,1,超会心,1,攻めの守勢,1,,,,,,,,,,,,,,,,,,,5340,16,26,2
ユクモノオビ,0,8,2,1,0,,92,112,0,0,2,0,0,見切り,1,回避性能,1,耳栓,1,,,,,,,,,,,,,,,,,,,5350,18,32,8
フルフルＸコイル,0,8,4,1,1,,96,116,-4,1,4,2,1,集中,1,ＫＯ術,1,,,,,,,,,,,,,,,,,,,,,5370,18,32,8
テンゴＸコイル,0,8,1,1,0,,96,116,-2,2,2,-4,2,アイテム使用強化,1,渾身,2,早食い,1,,,,,,,,,,,,,,,,,,,5380,18,32,8
テンゴＺコイル,0,8,1,0,0,,96,116,2,-4,-2,0,2,爆破属性強化,2,匠,2,散弾・拡散矢強化,2,,,,,,,,,,,,,,,,,,,5390,18,32,8
プケプケＸコイル,0,8,4,2,0,,96,116,0,3,-3,0,1,弾丸節約,1,毒属性強化,2,,,,,,,,,,,,,,,,,,,,,5400,18,32,8
ジュラＸコイル,0,8,1,1,0,,96,116,-1,2,-3,0,0,ガード強化,1,強化持続,1,攻めの守勢,2,,,,,,,,,,,,,,,,,,,5410,18,32,8
バサルＸコイル,0,8,4,0,0,,100,120,0,-2,1,1,-3,砥石使用高速化,2,防御,3,力の解放,1,装填速度,1,,,,,,,,,,,,,,,,,5420,18,32,8
イソネＸコイル,0,8,4,0,0,,96,116,-1,2,-3,0,1,睡眠属性強化,1,ボマー,1,装填拡張,1,,,,,,,,,,,,,,,,,,,5430,18,32,8
イソネＺコイル,0,8,4,2,0,,108,124,-3,1,-1,3,2,達人芸,1,氷属性攻撃強化,2,,,,,,,,,,,,,,,,,,,,,5440,16,26,2
レイアＸコイル,0,8,2,0,0,,96,116,3,0,-2,0,-3,体力回復量ＵＰ,2,広域化,1,挑戦者,1,,,,,,,,,,,,,,,,,,,5450,18,32,8
カガチＸコイル,0,8,4,1,0,,96,116,0,-3,3,0,0,心眼,2,会心撃【属性】,1,貫通弾・貫通矢強化,1,,,,,,,,,,,,,,,,,,,5460,18,32,8
ジャナフＸコイル,0,8,4,1,1,,98,118,3,-3,-1,-1,0,攻撃,2,,,,,,,,,,,,,,,,,,,,,,,5470,18,32,8
ドーベルＸコイル,0,8,2,0,0,,104,120,-2,0,0,0,4,龍属性攻撃強化,1,攻撃,2,ランナー,2,,,,,,,,,,,,,,,,,,,5490,16,26,2
ヴァイクＸコイル,0,8,4,0,0,,100,116,0,3,-2,-1,0,通常弾・連射矢強化,1,回復速度,2,業物,1,,,,,,,,,,,,,,,,,,,5500,16,26,2
マギュルＸオッハ,0,8,4,0,0,,100,116,-3,1,0,3,0,火属性攻撃強化,3,ひるみ軽減,1,会心撃【属性】,1,,,,,,,,,,,,,,,,,,,5510,16,26,2
デスギアＸナーベル,0,8,2,1,0,,110,126,3,1,1,-1,0,剛刃研磨,1,渾身,1,攻撃,1,,,,,,,,,,,,,,,,,,,5520,16,26,2
マカルパＸコイル,0,8,3,2,0,,104,120,1,2,-2,0,0,睡眠耐性,1,水属性攻撃強化,2,死中に活,1,,,,,,,,,,,,,,,,,,,5530,16,26,2
ロワーガＸアンカ,1,8,4,0,0,,110,126,-2,0,3,-2,2,龍属性攻撃強化,3,見切り,1,,,,,,,,,,,,,,,,,,,,,5540,16,26,2
ファルメルＸアンカ,2,8,4,0,0,,110,126,-2,0,3,-2,2,龍属性攻撃強化,3,見切り,1,,,,,,,,,,,,,,,,,,,,,5550,16,26,2
砲術隊【腰】,0,8,2,0,0,,106,122,1,1,1,1,1,装填拡張,2,装填速度,1,,,,,,,,,,,,,,,,,,,,,5560,16,26,2
ギルドバードコイル,1,8,4,1,0,,104,120,0,0,0,0,0,回避性能,1,幸運,1,笛吹き名人,1,,,,,,,,,,,,,,,,,,,5570,16,26,2
スカラースカート,2,8,4,1,0,,104,120,0,0,0,0,0,回避性能,1,幸運,1,笛吹き名人,1,,,,,,,,,,,,,,,,,,,5580,16,26,2
ガーディアンコイル,0,8,4,1,1,,108,124,2,0,0,2,3,陽動,1,砥石使用高速化,1,属性やられ耐性,2,,,,,,,,,,,,,,,,,,,5590,16,26,2
ブリゲイドＸコイル,0,8,3,1,0,,106,122,1,0,2,0,2,幸運,2,,,,,,,,,,,,,,,,,,,,,,,5600,16,26,2
ベリオＸコイル,0,8,1,0,0,,108,124,-5,0,-1,3,0,抜刀術【技】,1,見切り,3,破壊王,1,,,,,,,,,,,,,,,,,,,5610,16,26,2
禍鎧・真【腰当て】,0,8,4,0,0,,110,126,3,-3,-2,1,1,鬼火纏,1,耳栓,1,,,,,,,,,,,,,,,,,,,,,5620,16,26,2
ナルガＸコイル,0,8,2,0,0,,108,124,-2,1,-3,1,1,回避距離ＵＰ,2,見切り,2,ひるみ軽減,1,,,,,,,,,,,,,,,,,,,5630,16,26,2
